distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,consumption
28,5,26,21.5,12,E10,0,0,0,4.642857142857143
12,"4,2",30,21.5,13,E10,0,0,0,10.500000000000002
"11,2","5,5",38,21.5,15,E10,0,0,0,18.66071428571429
"12,9","3,9",36,21.5,14,E10,0,0,0,10.883720930232558
"18,5","4,5",46,21.5,15,E10,0,0,0,11.18918918918919
"8,3","6,4",50,21.5,10,E10,0,0,0,38.554216867469876
"7,8","4,4",43,21.5,11,E10,0,0,0,24.256410256410263
"12,3",5,40,21.5,6,E10,0,0,0,16.260162601626014
"4,9","6,4",26,21.5,4,E10,0,0,0,33.95918367346938
"11,9","5,3",30,21.5,9,E10,0,0,0,13.361344537815125
"12,4","5,6",42,21.5,4,E10,0,0,0,18.96774193548387
"11,8","4,6",38,21.5,0,E10,0,0,0,14.813559322033896
"12,3","5,9",59,21.5,10,E10,0,0,0,28.30081300813008
"24,7","5,1",58,21.5,12,E10,0,0,0,11.97570850202429
"12,4","4,7",46,21.5,11,E10,0,0,0,17.43548387096774
"17,3","5,1",24,21.5,5,E10,0,0,0,7.075144508670519
"33,4","5,6",36,21.5,3,E10,0,0,0,6.0359281437125745
"11,8","5,1",32,21.5,3,E10,0,0,0,13.83050847457627
"25,9","4,9",39,21.5,8,E10,0,0,0,7.378378378378379
"11,8","4,7",40,21.5,4,E10,0,0,0,15.932203389830509
"25,3","5,5",32,21.5,3,E10,0,0,0,6.956521739130435
"14,2","5,9",38,21.5,1,E10,0,0,0,15.7887323943662
"17,9","5,7",37,21.5,1,E10,0,0,0,11.782122905027935
"11,8","4,7",36,21.5,1,E10,0,0,0,14.338983050847457
"12,3","5,9",62,21.5,6,E10,0,0,0,29.739837398373982
"12,4","4,1",57,21.5,9,E10,0,0,0,18.846774193548388
"18,4","5,7",21,22.5,2,E10,0,0,0,6.505434782608696
"18,4","5,8",28,21.5,3,E10,0,0,0,8.82608695652174
"18,3","5,5",29,21.5,1,E10,0,0,0,8.71584699453552
"18,4","5,7",35,21.5,4,E10,0,0,0,10.842391304347828
"12,3","5,3",51,21.5,11,E10,0,0,0,21.97560975609756
"11,8",5,29,21.5,10,E10,0,0,0,12.288135593220339
"12,3","5,6",58,21.5,8,E10,0,0,0,26.406504065040647
"32,6","4,8",40,21.5,7,E10,0,0,0,5.889570552147239
19,"4,3",36,21.5,7,E10,0,0,0,8.147368421052631
"12,1","5,7",36,21.5,8,E10,0,0,0,16.958677685950416
20,"5,2",37,21.5,4,E10,0,0,0,9.620000000000001
"4,9","7,4",26,21.5,6,E10,0,0,0,39.265306122448976
"11,8","4,8",23,21.5,9,E10,0,0,0,9.35593220338983
"12,3","6,5",58,21.5,7,E10,0,0,0,30.65040650406504
"12,4",4,55,21.5,7,E10,1,1,0,17.741935483870968
"4,5",5,29,21.5,7,E10,1,0,0,32.22222222222222
"11,7","4,6",37,21.5,6,E10,0,0,0,14.547008547008547
"10,2","4,3",44,21.5,7,E10,0,0,0,18.54901960784314
"5,4","3,3",32,21.5,7,SP98,0,0,0,19.555555555555554
2,"9,9",21,21.5,4,SP98,0,0,0,103.95
"14,2","5,1",32,21.5,7,SP98,0,0,0,11.492957746478872
16,"4,9",25,21.5,8,SP98,0,0,0,7.656250000000001
"11,8","4,9",25,21.5,11,SP98,0,0,0,10.38135593220339
"27,3","4,7",36,21.5,10,SP98,0,0,0,6.197802197802198
"11,8","5,1",29,21.5,5,SP98,0,1,0,12.533898305084744
"10,6","4,9",63,21.5,6,SP98,0,0,0,29.122641509433965
"11,6","4,2",61,21.5,7,SP98,0,0,0,22.086206896551726
"13,1","6,1",46,21.5,6,SP98,0,1,0,21.419847328244273
"6,1","6,4",28,21.5,8,SP98,0,0,0,29.37704918032787
"153,5","4,9",82,21.5,3,SP98,0,1,0,2.6175895765472315
"11,8","4,9",24,21.5,7,SP98,0,0,0,9.966101694915254
"12,3","6,2",61,21.5,8,SP98,0,0,0,30.747967479674795
"12,4","4,2",57,21.5,8,SP98,0,0,0,19.306451612903228
"12,3","5,7",52,21.5,8,SP98,0,1,0,24.097560975609753
"2,9","7,9",18,21.5,9,SP98,1,1,0,49.0344827586207
"2,1","12,2",23,21.5,9,SP98,1,1,0,133.61904761904762
"9,8","5,8",24,21.5,6,SP98,0,0,0,14.204081632653061
"6,8","5,3",26,21.5,6,SP98,0,0,0,20.264705882352942
"12,4","5,4",24,21.5,7,SP98,0,0,0,10.451612903225806
"12,4","4,7",57,21.5,8,SP98,0,0,0,21.60483870967742
"11,8","4,6",41,21.5,6,SP98,0,0,0,15.983050847457626
"12,3","5,4",55,21.5,8,SP98,0,0,0,24.146341463414632
14,"4,3",40,21.5,8,SP98,0,0,0,12.285714285714285
"11,8","4,5",37,21.5,4,SP98,1,0,0,14.110169491525424
"12,3","5,2",55,21.5,12,SP98,0,0,0,23.2520325203252
2,"6,2",20,21.5,10,SP98,0,0,0,62.0
"13,9","5,1",29,21.5,6,SP98,0,0,0,10.640287769784171
"9,7","3,9",42,21.5,8,SP98,0,0,0,16.88659793814433
"11,6",5,25,21.5,6,SP98,0,0,0,10.775862068965518
"14,2","5,4",38,21.5,7,SP98,0,0,0,14.450704225352114
"11,8","4,5",39,21.5,6,SP98,0,0,0,14.872881355932202
"24,8","5,1",50,21.5,9,SP98,0,0,0,10.282258064516128
"12,4","4,7",56,21.5,7,SP98,0,0,0,21.225806451612904
"34,8",4,28,20.0,4,SP98,0,0,0,3.2183908045977017
"14,2","5,4",36,20.0,6,SP98,0,0,0,13.690140845070424
"5,2","4,5",39,20.0,10,SP98,0,0,0,33.75
"10,5","3,6",42,20.0,10,SP98,0,0,0,14.4
"12,3","5,2",57,20.0,10,SP98,0,0,0,24.097560975609753
"11,8","4,9",25,20.0,11,SP98,0,0,0,10.38135593220339
"12,3","6,2",58,20.0,11,SP98,0,1,0,29.235772357723576
"13,2","4,3",51,20.0,11,SP98,0,1,0,16.613636363636363
13,5,45,20.0,11,SP98,0,1,0,17.30769230769231
"12,9","5,1",32,20.0,11,SP98,0,0,0,12.651162790697674
"13,9","5,6",22,20.0,8,SP98,0,0,0,8.863309352517984
